Codigo,Nombre,Marca,Estatus,Asignado a,Observaciones,Fecha Modificacion
1312,REBANADORA TORREY RB-300DC         ,Equilinea,Por revisar,,,
1327,REBANADORA TORREY RMS350 1/2HP       ,Naresa,Por revisar,,,
1327,REBANADORA TORREY RMS350 1/2HP       ,Equilinea,Por revisar,,,
1338,VITRINA CALIENTE VC-92-136 TORREY ,Naresa,Por revisar,,,
1338,VITRINA CALIENTE VC-92-136 TORREY ,Equilinea,Por revisar,,,
1339,VITRINA REFRIGERADA VF-68-100 TORREY    ,Naresa,Por revisar,,,
1339,VITRINA REFRIGERADA VF-68-100 TORREY    ,Equilinea,Por revisar,,,
1386,VITRINA CALIENTE GIRATORIA VCG-46-97     ,Naresa,Por revisar,,,
1386,VITRINA CALIENTE GIRATORIA VCG-46-97     ,Equilinea,Por revisar,,,
1474,VITRINA CREMERA TORREY DRD3 ACERO INOXIDABLE,Naresa,Por revisar,,,
1474,VITRINA CREMERA TORREY DRD3 ACERO INOXIDABLE,Equilinea,Por revisar,,,
1475,VITRINA CREMERA TORREY DRD5 ACERO INOX R290,Naresa,Por revisar,,,
1475,VITRINA CREMERA TORREY DRD5 ACERO INOX R290,Equilinea,Por revisar,,,
1476,VITRINA CREMERA TORREY DRD6 ACERO INOX R290,Naresa,Por revisar,,,
1476,VITRINA CREMERA TORREY DRD6 ACERO INOX R290,Equilinea,Por revisar,,,
1478,REFRIGERADOR TORREY 19 PIES 0 A 6.7 °C VR-20       ,Naresa,Por revisar,,,
1478,REFRIGERADOR TORREY 19 PIES 0 A 6.7 °C VR-20       ,Equilinea,Por revisar,,,
1479,REFRIGERADOR TORREY RV-17 MULTITEMPERATURA -3 A 3°C     ,Naresa,Por revisar,,,
1479,REFRIGERADOR TORREY RV-17 MULTITEMPERATURA -3 A 3°C     ,Equilinea,Por revisar,,,
1480,REFRIGERADOR TORREY RV-25 MULTITEMPERATURA -3 A 3 °C   ,Naresa,Por revisar,,,
1480,REFRIGERADOR TORREY RV-25 MULTITEMPERATURA -3 A 3 °C   ,Equilinea,Por revisar,,,
1481,REFRIGERADOR TORREY RV-42 3 PUERTAS 0 A 7°C   ,Naresa,Por revisar,,,
1481,REFRIGERADOR TORREY RV-42 3 PUERTAS 0 A 7°C   ,Equilinea,Por revisar,,,
1482,MESA FRIA TORREY PTP-11 CON MESA SANALITE BLANCA ,Naresa,Por revisar,,,
1482,MESA FRIA TORREY PTP-11 CON MESA SANALITE BLANCA ,Equilinea,Por revisar,,,
1483,MESA FRIA TORREY PTP-21 CON MESA SANALITE BLANCA   ,Naresa,Por revisar,,,
